wav_path,speaker_id,label,utt_id,label_idx,split
data/raw/gujrat/Gujrat_speaker_01_10_7.wav,gujrat,gujrat,Gujrat_speaker_01_10_7,1,train
data/raw/gujrat/Gujrat_speaker_01_1_12.wav,gujrat,gujrat,Gujrat_speaker_01_1_12,1,train
data/raw/gujrat/Gujrat_speaker_01_10_12.wav,gujrat,gujrat,Gujrat_speaker_01_10_12,1,train
data/raw/gujrat/Gujrat_speaker_01_1_11.wav,gujrat,gujrat,Gujrat_speaker_01_1_11,1,train
data/raw/gujrat/Gujrat_speaker_01_10_13.wav,gujrat,gujrat,Gujrat_speaker_01_10_13,1,train
data/raw/gujrat/Gujrat_speaker_01_1_2.wav,gujrat,gujrat,Gujrat_speaker_01_1_2,1,train
data/raw/gujrat/Gujrat_speaker_01_10_4.wav,gujrat,gujrat,Gujrat_speaker_01_10_4,1,train
data/raw/gujrat/Gujrat_speaker_01_10_10.wav,gujrat,gujrat,Gujrat_speaker_01_10_10,1,train
data/raw/gujrat/Gujrat_speaker_01_10_14.wav,gujrat,gujrat,Gujrat_speaker_01_10_14,1,train
data/raw/gujrat/Gujrat_speaker_01_1_6.wav,gujrat,gujrat,Gujrat_speaker_01_1_6,1,train
data/raw/gujrat/Gujrat_speaker_01_1_5.wav,gujrat,gujrat,Gujrat_speaker_01_1_5,1,train
data/raw/gujrat/Gujrat_speaker_01_10_9.wav,gujrat,gujrat,Gujrat_speaker_01_10_9,1,train
data/raw/gujrat/Gujrat_speaker_01_1_4.wav,gujrat,gujrat,Gujrat_speaker_01_1_4,1,train
data/raw/gujrat/Gujrat_speaker_01_10_3.wav,gujrat,gujrat,Gujrat_speaker_01_10_3,1,train
data/raw/gujrat/Gujrat_speaker_01_10_11.wav,gujrat,gujrat,Gujrat_speaker_01_10_11,1,train
data/raw/gujrat/Gujrat_speaker_01_1_10.wav,gujrat,gujrat,Gujrat_speaker_01_1_10,1,train
data/raw/gujrat/Gujrat_speaker_01_10_8.wav,gujrat,gujrat,Gujrat_speaker_01_10_8,1,train
data/raw/gujrat/Gujrat_speaker_01_1_3.wav,gujrat,gujrat,Gujrat_speaker_01_1_3,1,train
data/raw/gujrat/Gujrat_speaker_01_1_1.wav,gujrat,gujrat,Gujrat_speaker_01_1_1,1,train
data/raw/gujrat/Gujrat_speaker_01_1_13.wav,gujrat,gujrat,Gujrat_speaker_01_1_13,1,train
data/raw/gujrat/Gujrat_speaker_01_10_6.wav,gujrat,gujrat,Gujrat_speaker_01_10_6,1,train
data/raw/gujrat/Gujrat_speaker_01_10.wav,gujrat,gujrat,Gujrat_speaker_01_10,1,train
data/raw/gujrat/Gujrat_speaker_01_10_1.wav,gujrat,gujrat,Gujrat_speaker_01_10_1,1,train
data/raw/gujrat/Gujrat_speaker_01_10_2.wav,gujrat,gujrat,Gujrat_speaker_01_10_2,1,train
data/raw/gujrat/Gujrat_speaker_01_1.wav,gujrat,gujrat,Gujrat_speaker_01_1,1,train
data/raw/gujrat/Gujrat_speaker_01_10_5.wav,gujrat,gujrat,Gujrat_speaker_01_10_5,1,train
data/raw/gujrat/Gujrat_speaker_02_8_3.wav,gujrat,gujrat,Gujrat_speaker_02_8_3,1,train
data/raw/gujrat/Gujrat_speaker_01_4_5.wav,gujrat,gujrat,Gujrat_speaker_01_4_5,1,train
data/raw/gujrat/Gujrat_speaker_01_4_3.wav,gujrat,gujrat,Gujrat_speaker_01_4_3,1,train
data/raw/gujrat/Gujrat_speaker_01_7_8.wav,gujrat,gujrat,Gujrat_speaker_01_7_8,1,train
data/raw/gujrat/Gujrat_speaker_01_9_3.wav,gujrat,gujrat,Gujrat_speaker_01_9_3,1,train
data/raw/gujrat/Gujrat_speaker_01_4_2.wav,gujrat,gujrat,Gujrat_speaker_01_4_2,1,train
data/raw/gujrat/Gujrat_speaker_01_4.wav,gujrat,gujrat,Gujrat_speaker_01_4,1,train
data/raw/gujrat/Gujrat_speaker_02_6_9.wav,gujrat,gujrat,Gujrat_speaker_02_6_9,1,train
data/raw/gujrat/Gujrat_speaker_02_6_5.wav,gujrat,gujrat,Gujrat_speaker_02_6_5,1,train
data/raw/gujrat/Gujrat_speaker_01_2_13.wav,gujrat,gujrat,Gujrat_speaker_01_2_13,1,train
data/raw/gujrat/Gujrat_speaker_02_8_10.wav,gujrat,gujrat,Gujrat_speaker_02_8_10,1,train
data/raw/gujrat/Gujrat_speaker_02_5_10.wav,gujrat,gujrat,Gujrat_speaker_02_5_10,1,train
data/raw/gujrat/Gujrat_speaker_01_9_14.wav,gujrat,gujrat,Gujrat_speaker_01_9_14,1,train
data/raw/gujrat/Gujrat_speaker_02_9_12.wav,gujrat,gujrat,Gujrat_speaker_02_9_12,1,train
data/raw/gujrat/Gujrat_speaker_02_2_12.wav,gujrat,gujrat,Gujrat_speaker_02_2_12,1,train
data/raw/gujrat/Gujrat_speaker_02_3_7.wav,gujrat,gujrat,Gujrat_speaker_02_3_7,1,train
data/raw/gujrat/Gujrat_speaker_02_3_6.wav,gujrat,gujrat,Gujrat_speaker_02_3_6,1,train
data/raw/gujrat/Gujrat_speaker_01_2_4.wav,gujrat,gujrat,Gujrat_speaker_01_2_4,1,train
data/raw/gujrat/Gujrat_speaker_01_4_9.wav,gujrat,gujrat,Gujrat_speaker_01_4_9,1,train
data/raw/gujrat/Gujrat_speaker_02_2_10.wav,gujrat,gujrat,Gujrat_speaker_02_2_10,1,train
data/raw/gujrat/Gujrat_speaker_02_1_9.wav,gujrat,gujrat,Gujrat_speaker_02_1_9,1,train
data/raw/gujrat/Gujrat_speaker_01_8_10.wav,gujrat,gujrat,Gujrat_speaker_01_8_10,1,train
data/raw/gujrat/Gujrat_speaker_01_1_7.wav,gujrat,gujrat,Gujrat_speaker_01_1_7,1,train
data/raw/gujrat/Gujrat_speaker_01_9.wav,gujrat,gujrat,Gujrat_speaker_01_9,1,train
data/raw/gujrat/Gujrat_speaker_01_5_2.wav,gujrat,gujrat,Gujrat_speaker_01_5_2,1,train
data/raw/gujrat/Gujrat_speaker_01_8.wav,gujrat,gujrat,Gujrat_speaker_01_8,1,train
data/raw/gujrat/Gujrat_speaker_02_1_12.wav,gujrat,gujrat,Gujrat_speaker_02_1_12,1,train
data/raw/gujrat/Gujrat_speaker_02_3.wav,gujrat,gujrat,Gujrat_speaker_02_3,1,train
data/raw/gujrat/Gujrat_speaker_02_8_9.wav,gujrat,gujrat,Gujrat_speaker_02_8_9,1,train
data/raw/gujrat/Gujrat_speaker_01_2_9.wav,gujrat,gujrat,Gujrat_speaker_01_2_9,1,train
data/raw/gujrat/Gujrat_speaker_02_7_3.wav,gujrat,gujrat,Gujrat_speaker_02_7_3,1,train
data/raw/gujrat/Gujrat_speaker_01_7_9.wav,gujrat,gujrat,Gujrat_speaker_01_7_9,1,train
data/raw/gujrat/Gujrat_speaker_01_3.wav,gujrat,gujrat,Gujrat_speaker_01_3,1,train
data/raw/gujrat/Gujrat_speaker_01_6_6.wav,gujrat,gujrat,Gujrat_speaker_01_6_6,1,train
data/raw/gujrat/Gujrat_speaker_01_5_5.wav,gujrat,gujrat,Gujrat_speaker_01_5_5,1,train
data/raw/gujrat/Gujrat_speaker_02_8_5.wav,gujrat,gujrat,Gujrat_speaker_02_8_5,1,train
data/raw/gujrat/Gujrat_speaker_02_7_1.wav,gujrat,gujrat,Gujrat_speaker_02_7_1,1,train
data/raw/gujrat/Gujrat_speaker_01_3_12.wav,gujrat,gujrat,Gujrat_speaker_01_3_12,1,train
